Identifier 1,mass_Inc,mass_Cont,15N_Inc,15N_Cont,shift,Site,Treatment,Type_Inc,Type_Cont,Year,N_Kfactor_Inc,Area28_Inc,C_Kfactor_Inc,Area44_Inc,%N_Inc,%C_Inc,C:N_Inc,Total_N_Inc,Total_C_Inc,N_Kfactor_Cont,Area28_Cont,C_Kfactor_Cont,Area44_Cont,%N_Cont,%C_Cont,C:N_Cont,Total_N_Cont,Total_C_Cont,FireType,shift_N,shift_C,shift_CN
BP40,34.42,37.8,9.141,10.081,-0.94,RC,Control,cyano,cyano,2018,0.140454402,84.642,0.773440054,87.65,0.345390514,1.969553188,5.702395134,0.118883415,1.962764405,0.141142911,59.213,0.807313189,82.661,0.221097756,1.765431627,7.984846426,0.083574952,0.744491105,none,-0.035308463,-1.2182733,2.282451292
BP41,38.73,40.4,8.572,7.047,1.525,RC,Control,moss,moss,2018,0.140454402,77.074,0.773440054,87.633,0.279508975,1.750035431,6.261106405,0.108253826,2.424926511,0.141142911,39.84,0.807313189,83.992,0.139186474,1.678412112,12.05872999,0.056231336,0.707014314,none,-0.05202249,-1.717912197,5.797623585
BP42,34.64,39.2,10.208,7.402,2.806,RC,Control,mixed,cyano,2018,0.140454402,76.911,0.773440054,88.156,0.31185013,1.968342419,6.311821695,0.108024885,2.186415035,0.141142911,61.565,0.807313189,83.873,0.221669982,1.727341303,7.792400603,0.086894633,0.771590228,none,-0.021130252,-1.414824807,1.480578908
BP43,35.26,41.5,7.262,6.362,0.9,RC,Burn,moss,cyano,2018,0.140454402,114.546,0.773440054,97.882,0.456281621,2.147074854,4.705591366,0.160884899,1.659191516,0.141142911,78.964,0.807313189,83.575,0.268559248,1.625812042,6.053830028,0.111452088,0.891036064,wild,-0.049432811,-0.768155452,1.348238662
BP44,34.13,37.2,6.822,5.014,1.808,RC,Burn,moss,cyano,2018,0.140454402,76.96,0.773440054,89.542,0.316711714,2.029164058,6.406975086,0.108093708,2.186700597,0.141142911,53.607,0.807313189,83.519,0.203393764,1.812526618,8.911416867,0.07566248,0.75484903,wild,-0.032431228,-1.431851567,2.504441781
BP45,34.23,38.9,6.099,0.519,5.58,RC,Burn,cyano,cyano,2018,0.14031741,105.01,0.598388165,86.397,0.430462496,1.51034012,3.50864508,0.147347313,1.201009211,0.141142911,72.171,0.807313189,83.316,0.261861826,1.729102972,6.603112038,0.10186425,0.587522307,wild,-0.045483063,-0.613486904,3.094466958
BP46,38.27,45,8.5,5.544,2.956,RC,Burn,moss,moss,2018,0.14031741,84.738,0.598388165,86.309,0.310692885,1.349524018,4.343594857,0.118902167,1.662293752,0.141142911,77.404,0.807313189,83.282,0.242778353,1.494103488,6.154187441,0.109250259,0.607285808,wild,-0.009651908,-1.055007944,1.810592584
BP47,42.42,41.7,6.244,5.926,0.318,RC,Burn,moss,lichen,2018,0.14031741,118.217,0.598388165,86.405,0.391039682,1.21885265,3.116953874,0.165879033,1.322211833,0.141142911,128.107,0.807313189,82.738,0.433606592,1.601810038,3.694155184,0.180813949,0.508261555,wild,0.014934916,-0.813950278,0.57720131
BP48,43.59,38.1,7.957,7.132,0.825,RC,Burn,moss,lichen,2018,0.14031741,66.279,0.598388165,86.49,0.213353926,1.187304254,5.564951513,0.093000976,2.425762365,0.141142911,54.709,0.807313189,83.156,0.202671588,1.762019305,8.693963084,0.077217875,0.452362921,wild,-0.015783101,-1.973399444,3.129011571
BP49,37.44,41.4,8.662,4.948,3.714,PGE,Control,moss,cyano,2018,0.14031741,42.353,0.598388165,86.4,0.158730323,1.380895766,8.699634345,0.059428633,3.257143099,0.141142911,101.823,0.807313189,83.634,0.347139966,1.630889643,4.698075132,0.143715946,0.571690847,none,0.084287313,-2.685452252,-4.001559213
