Plot,Quad,ID,Site,Sample.Year,Burn.Year,Treatment ,cyano,Lichen,Moss,Mixed,Total,2017_precip,2018_precip,2019_precip,2020_precip
rc05,c,rc05c2018,rc,2018,2012,wild,1,0,0,NA,1,5.541666667,1.863333333,5.976666667,3.336666667
rc05,d,rc05d2018,rc,2018,2012,wild,7,5,0,NA,12,5.541666667,1.863333333,5.976666667,3.336666667
rc06,a,rc06a2018,rc,2018,2012,wild,0,0,0,NA,0,5.541666667,1.863333333,5.976666667,3.336666667
rc06,b,rc06b2018,rc,2018,2012,wild,1,1,2,NA,4,5.541666667,1.863333333,5.976666667,3.336666667
rc06,c,rc06c2018,rc,2018,2012,wild,0,0,0,NA,0,5.541666667,1.863333333,5.976666667,3.336666667
rc06,d,rc06d2018,rc,2018,2012,wild,4,0,2,NA,6,5.541666667,1.863333333,5.976666667,3.336666667
rc07,a,rc07a2018,rc,2018,2012,wild,0,0,1,NA,1,5.541666667,1.863333333,5.976666667,3.336666667
rc07,b,rc07b2018,rc,2018,2012,wild,1,0,0,NA,1,5.541666667,1.863333333,5.976666667,3.336666667
rc07,c,rc07c2018,rc,2018,2012,wild,0,0,0,NA,0,5.541666667,1.863333333,5.976666667,3.336666667
rc07,d,rc07d2018,rc,2018,2012,wild,0,0,0,NA,0,5.541666667,1.863333333,5.976666667,3.336666667
rc08,a,rc08a2018,rc,2018,2012,wild,0,0,3,NA,3,5.541666667,1.863333333,5.976666667,3.336666667
rc08,b,rc08b2018,rc,2018,2012,wild,1,1,2,NA,4,5.541666667,1.863333333,5.976666667,3.336666667
rc08,c,rc08c2018,rc,2018,2012,wild,1,0,0,NA,1,5.541666667,1.863333333,5.976666667,3.336666667
rc08,d,rc08d2018,rc,2018,2012,wild,1,0,3,NA,4,5.541666667,1.863333333,5.976666667,3.336666667
rc09,a,rc09a2018,rc,2018,2012,wild,1,0,2,NA,3,5.541666667,1.863333333,5.976666667,3.336666667
rc09,b,rc09b2018,rc,2018,2012,wild,5,1,1,NA,7,5.541666667,1.863333333,5.976666667,3.336666667
rc09,c,rc09c2018,rc,2018,2012,wild,1,0,0,NA,1,5.541666667,1.863333333,5.976666667,3.336666667
rc09,d,rc09d2018,rc,2018,2012,wild,1,0,1,NA,2,5.541666667,1.863333333,5.976666667,3.336666667
rc10,a,rc10a2018,rc,2018,2012,wild,2,1,1,NA,4,5.541666667,1.863333333,5.976666667,3.336666667
rc10,b,rc10b2018,rc,2018,2012,wild,5,2,0,NA,7,5.541666667,1.863333333,5.976666667,3.336666667
rc10,c,rc10c2018,rc,2018,2012,wild,7,1,0,NA,8,5.541666667,1.863333333,5.976666667,3.336666667
rc10,d,rc10d2018,rc,2018,2012,wild,10,3,0,NA,13,5.541666667,1.863333333,5.976666667,3.336666667
rc01,a,rcb01a2018,rc,2018,2017/2012,rx/wild,0,0,0,NA,0,5.541666667,1.863333333,5.976666667,3.336666667
rc01,b,rcb01b2018,rc,2018,2017/2012,rx/wild,1,0,0,NA,1,5.541666667,1.863333333,5.976666667,3.336666667
rc01,c,rcb01c2018,rc,2018,2017/2012,rx/wild,2,0,0,NA,2,5.541666667,1.863333333,5.976666667,3.336666667
rc01,d,rcb01d2018,rc,2018,2017/2012,rx/wild,1,0,1,NA,2,5.541666667,1.863333333,5.976666667,3.336666667
rc02,a,rcb02a2018,rc,2018,2017/2012,rx/wild,18,0,0,NA,18,5.541666667,1.863333333,5.976666667,3.336666667
rc02,b,rcb02b2018,rc,2018,2017/2012,rx/wild,7,3,0,NA,10,5.541666667,1.863333333,5.976666667,3.336666667
rc02,c,rcb02c2018,rc,2018,2017/2012,rx/wild,5,15,2,NA,22,5.541666667,1.863333333,5.976666667,3.336666667
rc02,d,rcb02d2018,rc,2018,2017/2012,rx/wild,20,4,0,NA,24,5.541666667,1.863333333,5.976666667,3.336666667
rc03,a,rcb03a2018,rc,2018,2017/2012,rx/wild,10,0,1,NA,11,5.541666667,1.863333333,5.976666667,3.336666667
rc03,b,rcb03b2018,rc,2018,2017/2012,rx/wild,5,0,0,NA,5,5.541666667,1.863333333,5.976666667,3.336666667
rc03,c,rcb03c2018,rc,2018,2017/2012,rx/wild,34,0,1,NA,35,5.541666667,1.863333333,5.976666667,3.336666667
rc03,d,rcb03d2018,rc,2018,2017/2012,rx/wild,15,0,0,NA,15,5.541666667,1.863333333,5.976666667,3.336666667
rc04,a,rcb04a2018,rc,2018,2017/2012,rx/wild,45,0,15,NA,60,5.541666667,1.863333333,5.976666667,3.336666667
rc04,b,rcb04b2018,rc,2018,2017/2012,rx/wild,12,0,1,NA,13,5.541666667,1.863333333,5.976666667,3.336666667
rc04,c,rcb04c2018,rc,2018,2017/2012,rx/wild,7,1,0,NA,8,5.541666667,1.863333333,5.976666667,3.336666667
rc04,d,rcb04d2018,rc,2018,2017/2012,rx/wild,7,1,1,NA,9,5.541666667,1.863333333,5.976666667,3.336666667
rc05,a,rcb05a2018,rc,2018,2017/2012,rx/wild,4,0,2,NA,6,5.541666667,1.863333333,5.976666667,3.336666667
rc05,b,rcb05b2018,rc,2018,2017/2012,rx/wild,2,0,5,NA,7,5.541666667,1.863333333,5.976666667,3.336666667
rc05,c,rcb05c2018,rc,2018,2017/2012,rx/wild,0,0,0,NA,0,5.541666667,1.863333333,5.976666667,3.336666667
rc05,d,rcb05d2018,rc,2018,2017/2012,rx/wild,2,0,0,NA,2,5.541666667,1.863333333,5.976666667,3.336666667
rc06,a,rcb06a2018,rc,2018,2017/2012,rx/wild,6,0,1,NA,7,5.541666667,1.863333333,5.976666667,3.336666667
rc06,b,rcb06b2018,rc,2018,2017/2012,rx/wild,10,0,1,NA,11,5.541666667,1.863333333,5.976666667,3.336666667
rc06,c,rcb06c2018,rc,2018,2017/2012,rx/wild,8,0,0,NA,8,5.541666667,1.863333333,5.976666667,3.336666667
rc06,d,rcb06d2018,rc,2018,2017/2012,rx/wild,21,1,1,NA,23,5.541666667,1.863333333,5.976666667,3.336666667
rc07,a,rcb07a2018,rc,2018,2017/2012,rx/wild,24,0,2,NA,26,5.541666667,1.863333333,5.976666667,3.336666667
rc07,b,rcb07b2018,rc,2018,2017/2012,rx/wild,9,0,1,NA,10,5.541666667,1.863333333,5.976666667,3.336666667
rc07,c,rcb07c2018,rc,2018,2017/2012,rx/wild,13,0,1,NA,14,5.541666667,1.863333333,5.976666667,3.336666667
rc07,d,rcb07d2018,rc,2018,2017/2012,rx/wild,10,0,1,NA,11,5.541666667,1.863333333,5.976666667,3.336666667
rc08,a,rcb08a2018,rc,2018,2017/2012,rx/wild,20,0,5,NA,25,5.541666667,1.863333333,5.976666667,3.336666667
rc08,b,rcb08b2018,rc,2018,2017/2012,rx/wild,19,0,6,NA,25,5.541666667,1.863333333,5.976666667,3.336666667
rc08,c,rcb08c2018,rc,2018,2017/2012,rx/wild,19,0,0,NA,19,5.541666667,1.863333333,5.976666667,3.336666667
rc08,d,rcb08d2018,rc,2018,2017/2012,rx/wild,36,0,18,NA,54,5.541666667,1.863333333,5.976666667,3.336666667
rc09,a,rcb09a2018,rc,2018,2017/2012,rx/wild,15,0,1,NA,16,5.541666667,1.863333333,5.976666667,3.336666667
rc09,b,rcb09b2018,rc,2018,2017/2012,rx/wild,21,0,3,NA,24,5.541666667,1.863333333,5.976666667,3.336666667
rc09,c,rcb09c2018,rc,2018,2017/2012,rx/wild,27,0,1,NA,28,5.541666667,1.863333333,5.976666667,3.336666667
rc09,d,rcb09d2018,rc,2018,2017/2012,rx/wild,19,0,2,NA,21,5.541666667,1.863333333,5.976666667,3.336666667
rc10,a,rcb10a2018,rc,2018,2017/2012,rx/wild,10,0,1,NA,11,5.541666667,1.863333333,5.976666667,3.336666667
rc10,b,rcb10b2018,rc,2018,2017/2012,rx/wild,29,0,1,NA,30,5.541666667,1.863333333,5.976666667,3.336666667
rc10,c,rcb10c2018,rc,2018,2017/2012,rx/wild,20,0,1,NA,21,5.541666667,1.863333333,5.976666667,3.336666667
