Plot,Quad,ID,Site,Sample.Year,Burn.Year,Treatment ,cyano,Lichen,Moss,Mixed,Total,treatment
pge08,a,pge082019,pge,2019,2017,rx,10,5,40,NA,55,burn
pge08,b,pge082019,pge,2019,2017,rx,1,0,0,NA,1,burn
pge08,c,pge082019,pge,2019,2017,rx,60,1,5,NA,66,burn
pge08,d,pge082019,pge,2019,2017,rx,55,2,1,NA,58,burn
pge08,a,pge082019,pge,2019,none,none,0,1,0,NA,1,control
pge08,b,pge082019,pge,2019,none,none,10,0,0,NA,10,control
pge08,c,pge082019,pge,2019,none,none,1,0,1,NA,2,control
pge08,d,pge082019,pge,2019,none,none,1,0,1,NA,2,control
pge08,a,pge082020,pge,2020,2017,none,0,0,0,10,10,control
pge08,b,pge082020,pge,2020,2017,none,0,0,0,37,37,control
pge08,c,pge082020,pge,2020,2017,none,0,0,2,2,4,control
pge08,d,pge082020,pge,2020,2017,none,0,0,0,48,48,control
pge08,b,pge082020,pge,2020,2017,rx,0,2,2,0,4,burn
pge08,d,pge082020,pge,2020,2017,rx,0,0,0,75,75,burn
pge08,a,pge082020,pge,2020,2017,rx,0,6,25,10,41,burn
pge08,c,pge082020,pge,2020,2017,rx,0,30,24,10,64,burn
pge09,a,pge092018,pge,2018,2017,rx,65,3,0,NA,68,burn
pge09,b,pge092018,pge,2018,2017,rx,9,0,1,NA,10,burn
pge09,c,pge092018,pge,2018,2017,rx,5,4,1,NA,10,burn
pge09,d,pge092018,pge,2018,2017,rx,12,0,3,NA,15,burn
pge09,a,pge092018,pge,2018,none,none,4,0,0,NA,4,control
pge09,b,pge092018,pge,2018,none,none,3,0,0,NA,3,control
pge09,c,pge092018,pge,2018,none,none,2,0,0,NA,2,control
pge09,d,pge092018,pge,2018,none,none,5,0,0,NA,5,control
pge09,a,pge092019,pge,2019,2017,rx,2,0,3,NA,5,burn
pge09,b,pge092019,pge,2019,2017,rx,10,0,1,NA,11,burn
pge09,c,pge092019,pge,2019,2017,rx,6,1,20,NA,27,burn
pge09,d,pge092019,pge,2019,2017,rx,4,2,8,NA,14,burn
pge09,a,pge092019,pge,2019,none,none,0,0,0,NA,0,control
pge09,b,pge092019,pge,2019,none,none,0,0,0,NA,0,control
pge09,c,pge092019,pge,2019,none,none,0,0,0,NA,0,control
pge09,d,pge092019,pge,2019,none,none,0,0,0,NA,0,control
pge09,c,pge092020,pge,2020,2017,rx,50,0,5,0,55,burn
pge09,a,pge092020,pge,2020,2017,none,1,0,4,0,5,control
pge09,b,pge092020,pge,2020,2017,none,10,1,10,0,21,control
pge09,c,pge092020,pge,2020,2017,none,5,2,5,0,12,control
pge09,d,pge092020,pge,2020,2017,none,15,4,5,0,24,control
pge09,b,pge092020,pge,2020,2017,rx,18,4,2,0,24,burn
pge09,d,pge092020,pge,2020,2017,rx,25,0,5,0,30,burn
pge09,a,pge092020,pge,2020,2017,rx,30,4,10,0,44,burn
pge10,a,pge102018,pge,2018,2017,rx,35,1,20,NA,56,burn
pge10,b,pge102018,pge,2018,2017,rx,25,1,20,NA,46,burn
pge10,c,pge102018,pge,2018,2017,rx,25,1,30,NA,56,burn
pge10,d,pge102018,pge,2018,2017,rx,40,4,5,NA,49,burn
pge10,a,pge102018,pge,2018,none,none,0,0,0,NA,0,control
pge10,b,pge102018,pge,2018,none,none,0,0,0,NA,0,control
pge10,c,pge102018,pge,2018,none,none,0,0,0,NA,0,control
pge10,d,pge102018,pge,2018,none,none,1,0,0,NA,1,control
pge10,a,pge102019,pge,2019,2017,rx,30,10,1,NA,41,burn
pge10,b,pge102019,pge,2019,2017,rx,5,0,15,NA,20,burn
pge10,c,pge102019,pge,2019,2017,rx,85,1,0,NA,86,burn
pge10,d,pge102019,pge,2019,2017,rx,40,1,10,NA,51,burn
pge10,a,pge102019,pge,2019,none,none,1,1,1,NA,3,control
pge10,b,pge102019,pge,2019,none,none,1,0,0,NA,1,control
pge10,c,pge102019,pge,2019,none,none,0,0,0,NA,0,control
pge10,d,pge102019,pge,2019,none,none,1,0,0,NA,1,control
pge10,a,pge102020,pge,2020,2017,none,0,3,0,0,3,control
pge10,b,pge102020,pge,2020,2017,none,0,12,0,0,12,control
pge10,c,pge102020,pge,2020,2017,none,0,13,0,0,13,control
pge10,d,pge102020,pge,2020,2017,none,0,17,0,0,17,control
pge10,c,pge102020,pge,2020,2017,rx,44,8,44,0,96,burn
pge10,b,pge102020,pge,2020,2017,rx,0,5,29,0,34,burn
pge10,a,pge102020,pge,2020,2017,rx,10,1,2,0,13,burn
pge10,d,pge102020,pge,2020,2017,rx,6,1,1,0,8,burn
pgw01,a,pgw012018,pgw,2018,2017,rx,4,0,0,NA,4,burn
pgw01,b,pgw012018,pgw,2018,2017,rx,2,0,0,NA,2,burn
pgw01,c,pgw012018,pgw,2018,2017,rx,2,0,0,NA,2,burn
pgw01,d,pgw012018,pgw,2018,2017,rx,16,3,0,NA,19,burn
pgw01,a,pgw012018,pgw,2018,none,none,0,1,1,NA,32,control
pgw01,b,pgw012018,pgw,2018,none,none,1,0,0,NA,0,control
pgw01,c,pgw012018,pgw,2018,none,none,13,0,0,NA,1,control
pgw01,d,pgw012018,pgw,2018,none,none,20,1,0,NA,14,control
pgw01,a,pgw012019,pgw,2019,2017,rx,15,3,16,NA,34,burn
pgw01,b,pgw012019,pgw,2019,2017,rx,4,1,2,NA,7,burn
pgw01,c,pgw012019,pgw,2019,2017,rx,15,1,1,NA,17,burn
pgw01,d,pgw012019,pgw,2019,2017,rx,2,1,5,NA,8,burn
pgw01,a,pgw012019,pgw,2019,none,none,0,0,0,NA,0,control
pgw01,b,pgw012019,pgw,2019,none,none,1,0,1,NA,2,control
pgw01,c,pgw012019,pgw,2019,none,none,1,2,0,NA,3,control
pgw01,d,pgw012019,pgw,2019,none,none,1,1,0,NA,2,control
pgw01,a,pgw012020,pgw,2020,2017,rx,20,1,1,0,22,burn
pgw01,b,pgw012020,pgw,2020,2017,rx,0,0,0,0,0,burn
pgw01,c,pgw012020,pgw,2020,2017,rx,0,0,0,0,0,burn
pgw01,d,pgw012020,pgw,2020,2017,rx,0,0,0,40,40,burn
pgw01,a,pgw012020,pgw,2020,2017,none,0,0,0,0,0,control
pgw01,b,pgw012020,pgw,2020,2017,none,0,0,0,0,0,control
pgw01,c,pgw012020,pgw,2020,2017,none,0,0,0,15,15,control
pgw01,d,pgw012020,pgw,2020,2017,none,0,0,0,44,44,control
pgw02,a,pgw022018,pgw,2018,2017,rx,12,0,0,NA,12,burn
pgw02,b,pgw022018,pgw,2018,2017,rx,40,0,0,NA,40,burn
pgw02,c,pgw022018,pgw,2018,2017,rx,4,0,0,NA,4,burn
pgw02,d,pgw022018,pgw,2018,2017,rx,12,0,0,NA,12,burn
pgw02,a,pgw022018,pgw,2018,none,none,2,2,0,NA,22,control
pgw02,b,pgw022018,pgw,2018,none,none,0,1,2,NA,5,control
pgw02,c,pgw022018,pgw,2018,none,none,1,0,0,NA,0,control
pgw02,d,pgw022018,pgw,2018,none,none,1,0,0,NA,1,control
pgw02,a,pgw022019,pgw,2019,2017,rx,49,1,3,NA,53,burn
pgw02,b,pgw022019,pgw,2019,2017,rx,8,0,10,NA,18,burn
pgw02,c,pgw022019,pgw,2019,2017,rx,3,0,4,NA,7,burn
pgw02,d,pgw022019,pgw,2019,2017,rx,1,1,0,NA,2,burn
pgw02,a,pgw022019,pgw,2019,none,none,1,0,0,NA,1,control
pgw02,b,pgw022019,pgw,2019,none,none,0,0,0,NA,0,control
