"","Site","Treatment","Quad","ID","ng.cov","nng.cov","nnf.cov","nf.cov","BRODIA","EROBOT","FESMYU","SANARG","STIPUL","ACARAR","AVEBAR","AVEFAT","BROMAD","CENMEL","UNKNOWN","BROHOR","LASGRA","SPEMAC","LEPNIT","SALTRA","ACHMIL","EROCIC","SONOLE","DAUPUS","LUPBIC","MAFOFO","GILNEV","CALMEN","AVESPP","EROMOS","GALAPA","CRYINT","BROKIN","PTEDRY","CRACON","CALCIL","FESSPP","JEPMAL","HYPGLA","PELAND","AMBPUS","DICCAP","ALLPRA","CALMAC","OPULIT","AMSINT","AMSMEN","VIOPED"
"34","PGE","burn","D","PGE06",0.674196787148594,0.911558669001751,1.16283524904215,0.319873997709049,0,0.833333333333333,0.0833333333333333,0,1.5,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","PGE","burn","D","PGE07",0.577882960413081,0.781336002001501,1.49507389162562,0.274177712322042,0.142857142857143,0.142857142857143,0.142857142857143,0,0.142857142857143,0,0,0,0,0.285714285714286,0,0,0,0,0,0,0,0.285714285714286,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","PGE","burn","D","PGE08",0,1.02550350262697,1.30818965517241,0.479810996563574,0,0.25,0.125,0,0,0,0.125,0,0.125,0.125,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.125,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","PGE","burn","D","PGE09",0.674196787148594,0.911558669001751,1.16283524904215,0.319873997709049,0.0833333333333333,3.33333333333333,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,1.33333333333333,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0
"38","PGE","burn","D","PGE10",0.577882960413081,0.390668001000751,0.996715927750411,0.548355424644084,0,2.14285714285714,0.142857142857143,0,0.571428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0.285714285714286,0,0.142857142857143,0,0,0.142857142857143,0,0,0,0,0,0,0,0,0,0
"39","PGE","control","A","PGE01",0,1.8231173380035,0.581417624521073,0.319873997709049,0.166666666666667,0,0,0,0,0.5,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","PGE","control","A","PGE02",0.674196787148594,0.911558669001751,1.16283524904215,0.319873997709049,0,0.0833333333333333,0,0,0.333333333333333,0,0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0,0,0,1,0,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","PGE","control","A","PGE03",0.577882960413081,1.562672004003,0.996715927750411,0,0.0714285714285714,0.0714285714285714,0,0,0.0714285714285714,0,0,0.0714285714285714,0.142857142857143,0.0714285714285714,0,0.0714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","PGE","control","A","PGE04",0,1.215411558669,0.77522349936143,0.639747995418099,0.111111111111111,0,0.0555555555555556,0,0,0,0.111111111111111,0,0.0555555555555556,0.111111111111111,0,0.0555555555555556,0,0,0,0,0,0.0555555555555556,0,0.0555555555555556,0.0555555555555556,0.0555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","PGE","control","A","PGE05",0,0.911558669001751,1.16283524904215,0.479810996563574,0.166666666666667,0.0416666666666667,0.166666666666667,0,0,0,0.0416666666666667,0,0,0.5,0,0.0833333333333333,0,0,0.0833333333333333,0,0,0.0416666666666667,0.0416666666666667,0,0.0833333333333333,0,0.0416666666666667,0.0416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","PGE","control","A","PGE06",0.44946452476573,0.607705779334501,1.16283524904215,0.639747995418099,0.111111111111111,0.555555555555556,0.111111111111111,0,0.111111111111111,0,0,0,0,0.111111111111111,0,0,0,0,0,0,0,0.111111111111111,0.111111111111111,0,0.111111111111111,0.111111111111111,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","PGE","control","A","PGE07",0,0.911558669001751,1.16283524904215,0.639747995418099,0.166666666666667,0,0,0,0,0,0,0,0.166666666666667,0.166666666666667,0,0,0,0,0,0,0,0.0833333333333333,0.166666666666667,0,0,0.0833333333333333,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","PGE","control","A","PGE08",0,1.0938704028021,2.09310344827586,0,0.2,0,0,0,0,0,0,0.4,0,0.2,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","PGE","control","A","PGE09",0.337098393574297,0.911558669001751,1.16283524904215,0.479810996563574,0.0833333333333333,0.166666666666667,0.833333333333333,0.0833333333333333,0.166666666666667,0,0.0833333333333333,0,0.0833333333333333,0.0833333333333333,0,0,0,0,0,0,0,0.0833333333333333,0.0833333333333333,0,0,0,0,0,0,0,0,0,0.0833333333333333,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","PGE","control","A","PGE10",0.337098393574297,0.455779334500876,0.581417624521073,0.799684994272623,0.0833333333333333,0,0,0.166666666666667,0.166666666666667,0,0,0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0,0.0833333333333333,0,0,0,0,0.0833333333333333,0,0,0.0833333333333333,0,0.0833333333333333,0,0,0.0833333333333333,0,0.0833333333333333,0,0.166666666666667,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","PGE","control","B","PGE01",0.674196787148594,1.13944833625219,0.581417624521073,0.319873997709049,0.0416666666666667,1.04166666666667,0.0833333333333333,0,1.08333333333333,0.708333333333333,0.0416666666666667,0.0416666666666667,0.0833333333333333,0,0.0416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
