Identifier 1,BNF,Identifier 1,Site,Treatment,FireType,Year,%N_Inc,Total_N_Inc,d15N_Inc,atom%_inc,d15N_Cont,atom%_cont,atom%_excess,BNF(nmol/mg/day)
BP63,5541.397707,BP63,PGW,Control,none,2018,0.465222696,18.24603414,9.321,0.369714282,8.263,0.369326737,0.000387545,5541.397707
BP64,-1672.105088,BP64,PGW,Control,none,2018,0.331522337,13.98361217,7.596,0.369082415,8.044,0.369246517,-0.000164102,-1672.105088
BP65,7654.170225,BP65,PGW,Control,none,2018,0.224157331,8.793692095,10.327,0.37008278,7.294,0.368971792,0.001110988,7654.170225
BP66,-11426.59221,BP66,PGW,Control,none,2018,0.345220549,11.95153541,6.849,0.368808789,9.789,0.369885711,-0.001076922,-11426.59221
BP67,5385.909558,BP67,PGW,Burn,rx,2018,0.359424967,13.39217427,8.341,0.369355308,7.01,0.368867763,0.000487545,5385.909558
BP68,5789.015024,BP68,PGW,Burn,rx,2018,0.299999893,11.27099598,7.511,0.369051279,5.797,0.368423441,0.000627838,5789.015024
BP69,-310.353376,BP69,PGW,Burn,rx,2018,0.296415402,11.15411158,10.044,0.369979117,10.137,0.370013183,-3.41E-05,-310.353376
BP70,23527.42939,BP70,PGW,Burn,rx,2018,0.378515765,14.31925139,10.412,0.370113916,4.891,0.368091573,0.002022342,23527.42939
BP71,-375.5485852,BP71,PGW,Burn,rx,2018,0.383419431,14.68113001,7.815,0.369162635,7.902,0.369194503,-3.19E-05,-375.5485852
BP72,2100.48123,BP72,PGW,Burn,rx,2018,0.32167555,12.28478925,5.572,0.368341024,4.992,0.36812857,0.000212454,2100.48123
