domain,phylum,class,order,family,genus,OTU,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,sum
Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,30,6.54195E-05,4.66146E-05,5.656E-05,6.27648E-05,4.18226E-05,7.17607E-05,3.22191E-05,5.19071E-05,6.72523E-05,3.44542E-05,4.21922E-05,1.0595E-05,7.90412E-05,4.59429E-05,1.101E-05,3.93653E-05,5.37054E-05,3.87921E-05,3.54248E-05,5.9915E-05,4.07885E-05,4.88248E-05,8.21515E-05,1.60943E-05,0.001134618
Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,31,3.28225E-05,1.55027E-05,5.656E-06,2.78317E-05,2.79779E-05,2.38997E-05,2.01629E-05,0,9.59335E-06,8.62466E-06,2.40433E-05,2.119E-05,2.15972E-05,1.14857E-05,3.29164E-05,2.51346E-05,4.0279E-05,1.61495E-05,2.06772E-05,4.27335E-05,3.14006E-05,2.44124E-05,3.5734E-05,1.88692E-05,0.000538694
Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,32,0.000175392,0.000108679,0.000175511,0.000139158,6.99447E-05,0.000191259,0.000141141,0.000117059,0.000201757,0.000112254,0.000179937,0.000137626,0.000172926,8.05185E-05,0.000121166,0.000143415,0.000118207,0.000122869,0.000117981,0.000200892,0.000119452,0.000180702,0.000211826,0.000126534,0.003466207
Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanothermaceae,Methanothermus,33,0,1.03351E-05,5.656E-06,0,0,2.98746E-05,8.06518E-06,0,1.91867E-05,0,9.02789E-06,3.1785E-05,7.19905E-06,3.44572E-05,5.50498E-06,7.17076E-06,1.34263E-05,9.6897E-06,1.47477E-05,8.5467E-06,2.20128E-05,1.46474E-05,1.42936E-05,1.60943E-05,0.000281721
Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,34,8.7414E-05,6.20641E-05,0.000107581,5.55917E-05,5.58836E-05,0.000167236,6.46461E-05,7.75931E-05,5.73623E-05,7.75775E-05,9.92757E-05,5.29751E-05,9.35135E-05,2.29715E-05,0.000104708,8.24268E-05,8.85862E-05,8.40773E-05,9.73043E-05,0.000192301,0.000116215,0.000112247,0.000139436,8.61599E-05,0.002185146
Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,35,0.000120124,6.71251E-05,9.62103E-05,0.000104369,8.40057E-05,0.000101635,6.04888E-05,6.48839E-05,3.83734E-05,0.000138039,8.73316E-05,0.000148549,0.000100935,1.14857E-05,0.000115775,0.000107561,8.33264E-05,8.40773E-05,0.000103234,0.000128201,7.85016E-05,8.30525E-05,0.000157303,8.8796E-05,0.002253383
Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanothermococcus,36,1.09408E-05,1.03351E-05,5.656E-06,0,0,2.98746E-05,4.03259E-06,0,0,4.31233E-06,9.02789E-06,0,1.43981E-05,0,5.50498E-06,1.43415E-05,0,3.2299E-06,1.76364E-05,1.70934E-05,9.42019E-06,4.88248E-06,1.07202E-05,2.69163E-06,0.000174098
Archaea,Euryarchaeota,Methanomicrobia,Methanocellales,Methanocellaceae,Methanocella,37,0.000120124,8.28409E-05,9.62103E-05,0.000125171,3.49723E-05,0.000137362,8.87585E-05,5.19071E-05,6.72523E-05,6.4685E-05,6.62355E-05,7.42743E-05,8.64629E-05,5.74286E-05,6.04413E-05,7.54039E-05,7.25299E-05,7.10911E-05,6.78089E-05,0.000158158,8.48141E-05,7.32372E-05,0.000135937,6.18797E-05,0.002014985
Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum,38,2.18817E-05,2.58378E-05,3.38194E-05,6.95792E-06,6.99447E-05,3.57264E-05,2.01629E-05,0,9.59335E-06,3.02308E-05,1.20372E-05,1.0595E-05,1.43981E-05,1.14857E-05,2.75249E-05,3.23424E-05,1.88246E-05,2.58059E-05,2.66066E-05,3.85483E-05,4.07885E-05,9.76496E-06,2.85504E-05,2.95524E-05,0.00058098
Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoculleus,39,0.000164113,0.000175804,0.000232071,0.000125171,0.000182072,0.000173396,0.000149247,0.000181943,0.000201757,0.000150932,0.000153567,0.000127249,0.000230444,0.000137947,0.00019835,0.000172246,0.000118207,0.000148675,0.000188527,0.000328211,0.000220128,0.000185736,0.000204458,0.000172042,0.004322293
Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoplanus,40,1.09408E-05,4.12873E-05,1.6968E-05,2.78317E-05,6.99447E-06,2.98746E-05,3.63764E-05,3.89303E-05,3.83734E-05,3.88999E-05,3.61426E-05,3.1785E-05,8.64629E-05,3.44572E-05,2.20199E-05,4.6573E-05,4.0279E-05,2.91357E-05,2.94954E-05,5.55095E-05,5.34134E-05,3.42277E-05,4.64174E-05,4.57855E-05,0.000878181
Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,41,0.000175392,0.000129189,0.00012449,0.000118356,0.000118978,0.000155533,8.06518E-05,0.000129768,9.59335E-05,0.000159601,0.000135418,0.000116327,0.000115408,0.000126106,0.000137625,0.000121977,0.000129004,9.04039E-05,0.000115093,0.000170934,0.00016024,0.000141693,0.000121569,0.000118487,0.003088177
Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,unclassified (derived from Methanomicrobiales),Methanoregula,42,0.000153397,0.000186192,0.00013003,0.000139158,0.000139889,0.000143521,0.000214101,0.000117059,0.000124615,0.000133816,0.000126421,0.00010595,0.000129509,8.05185E-05,0.000115775,0.000161342,0.000171636,0.000139019,0.000138659,0.000235695,0.00014454,0.000166105,0.000200774,0.000159555,0.003557277
Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,unclassified (derived from Methanomicrobiales),Methanosphaerula,43,0.000120124,0.000149966,0.000135861,0.000104369,0.000104917,0.000119499,0.000117028,0.000117059,8.65379E-05,0.000125146,0.000102378,7.42743E-05,0.000122458,6.86775E-05,0.000132233,0.000125488,0.000107411,8.40773E-05,9.73043E-05,0.000222479,0.000153928,0.000112247,0.000132253,9.69819E-05,0.002812696
Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosaetaceae,Methanosaeta,44,4.37634E-05,6.20641E-05,9.62103E-05,7.63937E-05,0.000133039,0.000209122,8.48091E-05,9.09713E-05,0.0001439,4.73467E-05,0.000135418,0.0002119,0.000100935,4.59429E-05,5.50498E-05,0.000132696,8.33264E-05,0.000106553,5.6102E-05,0.000179525,8.17388E-05,0.000122062,0.000135937,9.4207E-05,0.002529014
Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanococcoides,45,8.7414E-05,8.79019E-05,0.000118951,6.27648E-05,7.67949E-05,0.000173396,8.06518E-05,0.000142477,0.000105329,7.75775E-05,0.000123474,4.238E-05,0.00013693,6.86775E-05,9.36415E-05,9.33308E-05,0.000115577,0.00010339,8.25566E-05,0.000140977,0.00012884,9.28678E-05,0.000110886,0.000129309,0.002476096
Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanohalobium,46,1.09408E-05,3.62262E-05,4.51897E-05,2.08738E-05,3.49723E-05,2.98746E-05,3.63764E-05,0,1.91867E-05,3.44542E-05,3.61426E-05,4.238E-05,2.87962E-05,1.14857E-05,3.85916E-05,2.14384E-05,1.88246E-05,1.61495E-05,1.47477E-05,6.41003E-05,3.14006E-05,1.46474E-05,3.22343E-05,1.88692E-05,0.000657903
Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanohalophilus,47,1.09408E-05,2.58378E-05,1.1312E-05,4.87772E-05,2.79779E-05,1.19499E-05,3.63764E-05,1.29768E-05,1.91867E-05,1.72493E-05,3.61426E-05,4.238E-05,1.43981E-05,3.44572E-05,2.20199E-05,5.37807E-05,1.07411E-05,1.29196E-05,1.76364E-05,3.85483E-05,4.07885E-05,4.4043E-05,4.64174E-05,2.15053E-05,0.000658363
Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,48,0.000710591,0.000884346,0.000871724,0.000982717,0.000825636,0.00109335,0.000762866,0.00071573,0.000746699,0.000775775,0.000947773,0.000901122,0.000879472,0.000757821,0.000698055,0.000850142,0.000636713,0.000820794,0.000548857,0.001376724,0.000911266,0.00086576,0.001018605,0.000861599,0.020444136
Archaea,Euryarchaeota,Methanopyri,Methanopyrales,Methanopyraceae,Methanopyrus,49,3.28225E-05,4.12873E-05,5.10206E-05,2.78317E-05,4.90334E-05,7.17607E-05,4.84326E-05,1.29768E-05,5.73623E-05,3.88999E-05,5.11891E-05,5.29751E-05,2.15972E-05,2.29715E-05,7.71833E-05,6.09884E-05,4.83072E-05,5.49416E-05,6.78089E-05,0.000128201,4.40256E-05,5.36066E-05,7.86517E-05,2.95524E-05,0.001223427
