domain,phylum,className,order,family,genus,bulk1,bulk1,bulk2,bulk3,bulk4,bulk5,bulk6,nulk7,bulk8,bulk8,bulk9,bulk10,bulk11,bulk12,bulk13,bulk14,bulk15,bulk15,bulk16,bulk17,bulk18,bulk19,bulk20,bulk20,bulk21,bulk22,bulk23,bulk24,bulk25,bulk26,bulk26,bulk27,bulk28,bulk29,bulk29,bulk30,bulk31,bulk32,bulk33,bulk34,bulk34,bulk35,bulk36,bulk37,bulk38,bulk38,bulk39,bulk40
Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Actinomycetaceae,Actinomyces,0.000409926,0.000481037,0.000525513,0.00063079,0.000572498,0.000595957,0.00059379,0.000527851,0.000522126,0.000692103,0.000474847,0.000630906,0.000501811,0.000521139,0.000450176,0.000404135,0.000510603,0.000515855,0.000457953,0.000580819,0.000527469,0.000586085,0.00062173,0.000470825,0.0005496,0.000597115,0.000534873,0.000534602,0.000437958,0.000506169,0.000546544,0.000592884,0.000466175,0.000539665,0.000475577,0.000383733,0.000564043,0.000547369,0.000589227,0.000572729,0.000501943,0.000452204,0.000404456,0.000603523,0.000483768,0.00040617,0.000449825,0.000455328
Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Actinosynnemataceae,Actinosynnema,0.003630774,0.004095685,0.003449144,0.004422864,0.004212999,0.003208997,0.003310066,0.002925177,0.00340517,0.003058129,0.003358845,0.003840298,0.003857674,0.004212538,0.003178935,0.003048133,0.003587486,0.002785618,0.003015444,0.003739907,0.002971658,0.002674012,0.003912351,0.002511069,0.003651364,0.003515599,0.003608269,0.004446108,0.00397874,0.004215438,0.004590967,0.003572313,0.003643935,0.003492834,0.003301467,0.00375391,0.003110295,0.003118563,0.004191715,0.004626462,0.003826497,0.002874723,0.002440446,0.003719211,0.004837677,0.004312319,0.004016857,0.003733694
Eukaryota,Arthropoda,Insecta,Hemiptera,Aphididae,Acyrthosiphon,2.19603E-05,1.37439E-05,2.96064E-05,2.93391E-05,2.20192E-05,7.64047E-06,1.89508E-05,2.93251E-05,4.54023E-05,1.60954E-05,1.39661E-05,2.74307E-05,7.8408E-06,2.17141E-05,4.15547E-05,2.05492E-05,2.65248E-05,2.94774E-05,2.11363E-05,2.83326E-05,2.22874E-05,1.46521E-05,1.51642E-05,1.65202E-05,2.5269E-05,2.68366E-05,3.39602E-05,1.78201E-05,3.71151E-05,7.90889E-06,3.64362E-05,0,7.76959E-06,1.49907E-05,2.06772E-05,3.33681E-05,0.000120866,3.60111E-05,1.49171E-05,0,2.60749E-05,2.42252E-05,2.74207E-05,7.54404E-06,2.97703E-05,1.72838E-05,2.3675E-05,1.51776E-05
Eukaryota,Streptophyta,Polypodiopsida,Polypodiales,Pteridaceae,Adiantum,0,0,0,7.33477E-06,0,0,0,0,0,0,0,0,0,0,6.92578E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.90889E-06,0,0,0,0,0,0,0,0,7.45857E-06,0,0,8.07507E-06,0,0,0,0,7.89166E-06,0
Eukaryota,Arthropoda,Insecta,Diptera,Culicidae,Aedes,8.78413E-05,7.55915E-05,2.96064E-05,5.13434E-05,6.60575E-05,8.40452E-05,6.94861E-05,5.86502E-05,9.83716E-05,9.65725E-05,0.000146644,8.91498E-05,5.48856E-05,2.89521E-05,0.000103887,7.53471E-05,4.64185E-05,6.63242E-05,6.34089E-05,6.37484E-05,0.000104008,7.32606E-05,8.34028E-05,4.13005E-05,4.42207E-05,8.72191E-05,5.09403E-05,7.12803E-05,5.93842E-05,8.69978E-05,4.37235E-05,7.50486E-05,5.43871E-05,4.49721E-05,2.75697E-05,5.83942E-05,0.000104751,8.64267E-05,0.000119337,9.66945E-05,8.47436E-05,7.26756E-05,1.37104E-05,6.03523E-05,0.000104196,0.000207406,6.31333E-05,7.58881E-05
Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,0,6.87195E-06,0,2.20043E-05,2.20192E-05,1.52809E-05,1.26338E-05,7.33127E-06,1.51341E-05,2.41431E-05,1.39661E-05,0,7.8408E-06,1.44761E-05,2.07773E-05,6.84974E-06,6.63121E-06,2.21081E-05,7.04543E-06,4.24989E-05,1.48583E-05,2.93042E-05,3.03283E-05,1.65202E-05,3.15862E-05,6.70916E-06,2.54701E-05,0,7.42302E-06,1.58178E-05,2.9149E-05,1.50097E-05,2.33088E-05,1.49907E-05,2.06772E-05,8.34202E-06,1.61155E-05,2.16067E-05,2.98343E-05,2.23141E-05,1.95562E-05,1.61501E-05,1.37104E-05,2.26321E-05,7.44258E-06,1.72838E-05,7.89166E-06,1.51776E-05
Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Nocardioidaceae,Aeromicrobium,0.000863773,0.000989562,0.001110239,0.000975524,0.001115637,0.001176632,0.000985439,0.000945734,0.000892911,0.000909391,0.001005559,0.000829779,0.00107419,0.001367989,0.000948832,0.000856217,0.000981419,0.000736936,0.000782043,0.000913727,0.001292671,0.00072528,0.00098567,0.000751669,0.000985489,0.001207648,0.000899945,0.000917734,0.000972416,0.00121006,0.00100564,0.001133234,0.000862424,0.000757031,0.001337129,0.001026069,0.000725198,0.001065929,0.001014365,0.001167772,0.000997366,0.001049759,0.000980291,0.001033533,0.000759143,0.001408633,0.0008523,0.000933423
Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,0.000483127,0.000364214,0.000414489,0.000432751,0.000418364,0.000450788,0.000530621,0.000476533,0.000628065,0.000466767,0.000356135,0.000486895,0.000580219,0.000427044,0.00044325,0.000342487,0.00043766,0.0004569,0.000436817,0.000467488,0.000542328,0.000542129,0.00043976,0.000446045,0.0003664,0.000509896,0.000475443,0.000400952,0.000378574,0.000553622,0.000415373,0.000472806,0.000473945,0.000464712,0.000516931,0.000500521,0.000386772,0.000309696,0.00036547,0.000394216,0.000482386,0.000516804,0.000390746,0.000452642,0.000550751,0.000440738,0.000299883,0.000387029
Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Aeropyrum,0.000124442,8.93354E-05,6.66144E-05,0.000124691,5.1378E-05,9.93261E-05,8.212E-05,0.000109969,6.81034E-05,0.000112668,0.000118712,0.000198873,7.05672E-05,6.51423E-05,9.6961E-05,0.000136995,9.94682E-05,0.000147387,6.34089E-05,0.000106247,7.42914E-05,5.12824E-05,5.30745E-05,0.000107381,9.47586E-05,0.000114056,6.79204E-05,0.000169291,0.000118768,3.95444E-05,6.55852E-05,4.50292E-05,6.21567E-05,0.000172393,7.58166E-05,0.000141814,0.000104751,8.64267E-05,0.000126796,8.18185E-05,8.47436E-05,0.000113051,0.000102828,6.03523E-05,0.000133966,7.77773E-05,2.3675E-05,0.000106243
Eukaryota,Streptophyta,unclassified (derived from Streptophyta),Brassicales,Brassicaceae,Aethionema,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.08316E-06,0,0,0,0,0,2.01275E-05,0,0,0,0,0,0,0,0,6.89242E-06,0,0,0,0,0,0,0,0,0,0,0,0,0
